"Country","Year","Item","Value"
"Angola",2012,"Loans to Agriculture",816.784368
"Angola",2012,"Development Aid",16.801791
"Angola",2012,"Research and Development",0
"Angola",2013,"Economic Contribution",8896.386016
"Angola",2013,"Investment in Assets",861.072051
"Angola",2013,"Loans to Agriculture",901.023744
"Angola",2013,"Development Aid",25.857754
"Angola",2013,"Research and Development",0.73
"Angola",2014,"Economic Contribution",10996.98061
"Angola",2014,"Investment in Assets",1060.904618
"Angola",2014,"Loans to Agriculture",1412.949851
"Angola",2014,"Development Aid",18.098601
"Angola",2014,"Research and Development",0
"Angola",2015,"Economic Contribution",10599.80555
"Angola",2015,"Investment in Assets",1014.808536
"Angola",2015,"Loans to Agriculture",1510.087456
"Angola",2015,"Development Aid",13.704078
"Angola",2015,"Research and Development",0
"Angola",2017,"Economic Contribution",12233.14193
"Angola",2017,"Investment in Assets",1058.087468
"Angola",2017,"Loans to Agriculture",1327.648968
"Angola",2017,"Development Aid",8.163879
"Angola",2017,"Research and Development",0
"Angola",2018,"Economic Contribution",8724.222727
"Angola",2018,"Investment in Assets",663.736755
"Angola",2018,"Loans to Agriculture",881.355703
"Angola",2018,"Development Aid",27.479696
"Angola",2018,"Research and Development",5.33
"Angola",2019,"Economic Contribution",6553.35745
"Angola",2019,"Investment in Assets",494.020787
"Angola",2019,"Loans to Agriculture",748.055237
"Angola",2019,"Development Aid",26.031829
"Angola",2019,"Research and Development",0
"Angola",2020,"Economic Contribution",5452.802634
"Angola",2020,"Investment in Assets",395.666392
"Angola",2020,"Loans to Agriculture",498.14424
"Angola",2020,"Development Aid",21.132609
"Angola",2020,"Research and Development",0
"Angola",2021,"Economic Contribution",8101.38122
"Angola",2021,"Investment in Assets",545.441127
"Angola",2021,"Loans to Agriculture",493.232427
"Angola",2021,"Development Aid",29.317005
"Angola",2022,"Economic Contribution",15817.94601
"Angola",2022,"Investment in Assets",1178.950637
"Angola",2022,"Loans to Agriculture",862.158814
"Argentina",2001,"Economic Contribution",11539.0209
"Argentina",2001,"Investment in Assets",1677.714726
"Argentina",2001,"Loans to Agriculture",5424.309155
"Argentina",2001,"Development Aid",8.293457
"Argentina",2002,"Economic Contribution",9785.165908
"Argentina",2002,"Investment in Assets",1378.245233
"Argentina",2002,"Loans to Agriculture",1120.978957
"Argentina",2002,"Development Aid",5.723891
"Argentina",2003,"Economic Contribution",12575.3938
"Argentina",2003,"Investment in Assets",1828.68793
"Argentina",2003,"Loans to Agriculture",1032.77288
"Argentina",2003,"Development Aid",28.313656
"Argentina",2004,"Economic Contribution",13877.35841
"Argentina",2004,"Investment in Assets",2139.462664
"Argentina",2004,"Loans to Agriculture",1382.854651
"Argentina",2004,"Development Aid",37.64643
"Argentina",2005,"Economic Contribution",15926.90395
"Argentina",2005,"Investment in Assets",2433.787585
"Argentina",2005,"Loans to Agriculture",2151.765358
"Argentina",2005,"Development Aid",40.729408
"Argentina",2005,"Foreign Investment",24
"Argentina",2006,"Economic Contribution",16256.3735
"Argentina",2006,"Investment in Assets",2545.506449
"Argentina",2006,"Loans to Agriculture",2804.543416
"Argentina",2006,"Development Aid",27.026626
"Argentina",2006,"Foreign Investment",279
"Argentina",2007,"Economic Contribution",21593.57881
"Argentina",2007,"Investment in Assets",3408.517112
"Argentina",2007,"Loans to Agriculture",4008.678307
"Argentina",2007,"Development Aid",35.03023
"Argentina",2007,"Foreign Investment",304
"Argentina",2008,"Economic Contribution",26761.34591
"Argentina",2008,"Investment in Assets",4248.121848
"Argentina",2008,"Loans to Agriculture",4774.748741
"Argentina",2008,"Development Aid",24.760815
"Argentina",2008,"Foreign Investment",465
"Argentina",2009,"Economic Contribution",17738.3277
"Argentina",2009,"Investment in Assets",2885.678891
"Argentina",2009,"Loans to Agriculture",4608.587616
"Argentina",2009,"Development Aid",148.955705
"Argentina",2009,"Foreign Investment",117
"Argentina",2010,"Economic Contribution",30417.798
"Argentina",2010,"Investment in Assets",4698.217149
"Argentina",2010,"Loans to Agriculture",5939.487258
"Argentina",2010,"Development Aid",198.076594
"Argentina",2010,"Foreign Investment",422
"Argentina",2011,"Economic Contribution",37104.35935
"Argentina",2011,"Investment in Assets",5861.418965
"Argentina",2011,"Loans to Agriculture",8572.680493
"Argentina",2011,"Development Aid",118.659778
"Argentina",2011,"Foreign Investment",295
"Argentina",2012,"Economic Contribution",33616.84763
"Argentina",2012,"Investment in Assets",5401.600415
"Argentina",2012,"Loans to Agriculture",9483.530493
"Argentina",2012,"Development Aid",143.635721
"Argentina",2012,"Foreign Investment",300
"Argentina",2013,"Economic Contribution",37123.5189
"Argentina",2013,"Investment in Assets",5871.129316
"Argentina",2013,"Loans to Agriculture",10061.44816
"Argentina",2013,"Development Aid",158.897649
"Argentina",2013,"Foreign Investment",37
"Argentina",2015,"Economic Contribution",33255.63243
"Argentina",2015,"Investment in Assets",5107.347547
"Argentina",2015,"Loans to Agriculture",8649.678064
"Argentina",2015,"Development Aid",127.585726
"Argentina",2015,"Foreign Investment",188
"Argentina",2016,"Economic Contribution",34926.97899
"Argentina",2016,"Investment in Assets",5335.952734
"Argentina",2016,"Loans to Agriculture",6817.380237
"Argentina",2016,"Development Aid",154.040366
"Argentina",2016,"Foreign Investment",-22
"Argentina",2018,"Economic Contribution",27415.96203
"Argentina",2018,"Investment in Assets",4386.744665
"Argentina",2018,"Loans to Agriculture",8362.579391
"Argentina",2018,"Development Aid",33.350633
"Argentina",2018,"Research and Development",0
"Argentina",2019,"Economic Contribution",27120.4761
"Argentina",2019,"Investment in Assets",4084.298786
"Argentina",2019,"Loans to Agriculture",6029.436341
"Argentina",2019,"Development Aid",12.685079
"Argentina",2019,"Research and Development",0
"Argentina",2020,"Economic Contribution",26186.77815
"Argentina",2020,"Investment in Assets",3960.967068
"Argentina",2020,"Loans to Agriculture",5999.428247
"Argentina",2020,"Development Aid",39.859796
"Argentina",2021,"Economic Contribution",29352.35022
"Argentina",2021,"Investment in Assets",4687.729024
"Argentina",2021,"Loans to Agriculture",6037.889909
"Argentina",2021,"Development Aid",68.878145
"Argentina",2022,"Economic Contribution",34446.17824
"Argentina",2022,"Investment in Assets",5806.844308
"Argentina",2022,"Loans to Agriculture",7072.338149
"Armenia",2001,"Economic Contribution",542.296323
"Armenia",2001,"Investment in Assets",36.093418
"Armenia",2001,"Loans to Agriculture",16.930954
"Armenia",2001,"Development Aid",16.448357
"Armenia",2001,"Foreign Investment",0.2
"Armenia",2002,"Economic Contribution",557.446185
"Armenia",2002,"Investment in Assets",37.301609
"Armenia",2002,"Loans to Agriculture",13.581511
"Armenia",2002,"Development Aid",25.185905
"Armenia",2002,"Foreign Investment",3.4
"Armenia",2003,"Economic Contribution",604.134881
"Armenia",2003,"Investment in Assets",33.063779
"Armenia",2003,"Loans to Agriculture",14.085213
"Armenia",2003,"Development Aid",13.696549
"Armenia",2004,"Economic Contribution",808.8144
"Armenia",2004,"Investment in Assets",47.009018
"Armenia",2004,"Loans to Agriculture",16.141314
"Armenia",2004,"Development Aid",16.891989
"Armenia",2005,"Economic Contribution",934.771422
"Armenia",2005,"Investment in Assets",80.703635
"Armenia",2005,"Loans to Agriculture",24.698364
"Armenia",2005,"Development Aid",10.604987
"Armenia",2006,"Economic Contribution",1193.585468
"Armenia",2006,"Investment in Assets",131.977577
"Armenia",2006,"Loans to Agriculture",34.122753
"Armenia",2006,"Development Aid",27.550255
"Armenia",2007,"Economic Contribution",1678.308033
"Armenia",2007,"Investment in Assets",163.065786
"Armenia",2007,"Loans to Agriculture",65.407201
"Armenia",2007,"Development Aid",36.55435
"Armenia",2008,"Economic Contribution",1899.826937
"Armenia",2008,"Investment in Assets",148.073304
"Armenia",2008,"Loans to Agriculture",119.186192
"Armenia",2008,"Development Aid",36.512803
"Armenia",2008,"Foreign Investment",22.9236
"Armenia",2009,"Economic Contribution",1460.929077
"Armenia",2009,"Investment in Assets",132.784254
"Armenia",2009,"Loans to Agriculture",121.605332
"Armenia",2009,"Development Aid",49.985279
"Armenia",2009,"Foreign Investment",6.7
"Armenia",2009,"Research and Development",0
"Armenia",2011,"Economic Contribution",2062.220432
"Armenia",2011,"Investment in Assets",145.254352
"Armenia",2011,"Loans to Agriculture",197.153404
"Armenia",2011,"Development Aid",68.323038
"Armenia",2011,"Foreign Investment",2.8352
"Armenia",2011,"Research and Development",0
"Armenia",2012,"Economic Contribution",1902.205141
"Armenia",2012,"Investment in Assets",140.247493
"Armenia",2012,"Loans to Agriculture",228.717033
"Armenia",2012,"Development Aid",37.886058
"Armenia",2012,"Foreign Investment",36.1263
"Armenia",2012,"Research and Development",0
"Armenia",2013,"Economic Contribution",2050.215597
"Armenia",2013,"Investment in Assets",119.284004
"Armenia",2013,"Loans to Agriculture",251.991978
"Armenia",2013,"Development Aid",13.511128
"Armenia",2013,"Foreign Investment",7.171
"Armenia",2013,"Research and Development",0
"Armenia",2014,"Economic Contribution",2098.075453
"Armenia",2014,"Investment in Assets",111.354935
"Armenia",2014,"Loans to Agriculture",306.785349
"Armenia",2014,"Development Aid",13.869703
"Armenia",2014,"Foreign Investment",11.545495
"Armenia",2014,"Research and Development",0
"Armenia",2015,"Economic Contribution",1817.61399
"Armenia",2015,"Investment in Assets",107.005662
"Armenia",2015,"Loans to Agriculture",288.105909
"Armenia",2015,"Development Aid",32.9676
"Armenia",2015,"Foreign Investment",26.163886
"Armenia",2015,"Research and Development",0
"Armenia",2016,"Economic Contribution",1728.561669
"Armenia",2016,"Investment in Assets",100.422692
"Armenia",2016,"Loans to Agriculture",283.762818
"Armenia",2016,"Development Aid",64.930908
"Armenia",2016,"Foreign Investment",7.306112
"Armenia",2016,"Research and Development",0
"Armenia",2017,"Economic Contribution",1728.457145
"Armenia",2017,"Investment in Assets",104.946387
"Armenia",2017,"Loans to Agriculture",272.410189
"Armenia",2017,"Development Aid",109.267838
"Armenia",2017,"Foreign Investment",7.312575
"Armenia",2017,"Research and Development",0
"Armenia",2018,"Economic Contribution",1736.924919
"Armenia",2018,"Investment in Assets",135.623266
"Armenia",2018,"Loans to Agriculture",282.036314
"Armenia",2018,"Development Aid",63.605391
"Armenia",2018,"Foreign Investment",5.388954
"Armenia",2018,"Research and Development",0
"Armenia",2019,"Economic Contribution",1569.706414
"Armenia",2019,"Investment in Assets",115.09213
"Armenia",2019,"Loans to Agriculture",314.887808
"Armenia",2019,"Development Aid",15.629039
"Armenia",2019,"Foreign Investment",2.471042
"Armenia",2019,"Research and Development",0
"Armenia",2020,"Economic Contribution",1434.808159
"Armenia",2020,"Investment in Assets",146.529927
"Armenia",2020,"Loans to Agriculture",385.633158
"Armenia",2020,"Development Aid",18.860308
"Armenia",2020,"Foreign Investment",0.527802
"Armenia",2020,"Research and Development",0
"Armenia",2021,"Economic Contribution",1571.535246
"Armenia",2021,"Investment in Assets",152.809173
"Armenia",2021,"Loans to Agriculture",421.19078
"Armenia",2021,"Development Aid",29.396208
"Armenia",2021,"Foreign Investment",6.940275
"Armenia",2021,"Research and Development",0
"Armenia",2022,"Economic Contribution",2021.342916
"Armenia",2022,"Investment in Assets",193.616093
"Armenia",2022,"Loans to Agriculture",519.435486
"Armenia",2022,"Research and Development",0
"Australia",2001,"Economic Contribution",15433.09408
"Australia",2001,"Investment in Assets",4940.927905
"Australia",2001,"Loans to Agriculture",12903.94323
"Australia",2001,"Foreign Investment",-12.930321
"Australia",2003,"Economic Contribution",17154.00284
"Australia",2003,"Investment in Assets",7295.477428
"Australia",2003,"Loans to Agriculture",20520.00441
"Australia",2003,"Foreign Investment",-7.782555
"Australia",2005,"Economic Contribution",20842.73067
"Australia",2005,"Investment in Assets",9412.944645
"Australia",2005,"Loans to Agriculture",29994.57796
"Australia",2005,"Foreign Investment",-127.532513
"Australia",2006,"Economic Contribution",18086.20509
"Australia",2006,"Investment in Assets",10198.24613
"Australia",2006,"Loans to Agriculture",32865.20027
"Australia",2006,"Foreign Investment",-87.351371
"Australia",2007,"Economic Contribution",23114.07885
"Australia",2007,"Investment in Assets",11786.73261
"Australia",2007,"Loans to Agriculture",42694.57019
"Australia",2007,"Foreign Investment",-9.204482
"Australia",2010,"Economic Contribution",29816.7382
"Australia",2010,"Investment in Assets",11056.18045
"Australia",2010,"Loans to Agriculture",53636.1635
"Australia",2010,"Foreign Investment",11.924855
"Australia",2011,"Economic Contribution",35088.49015
"Australia",2011,"Investment in Assets",12410.99196
"Australia",2011,"Loans to Agriculture",59446.31203
"Australia",2011,"Foreign Investment",43.322953
"Australia",2012,"Economic Contribution",36362.56215
"Australia",2012,"Investment in Assets",12494.2919
"Australia",2012,"Loans to Agriculture",61804.65748
"Australia",2013,"Economic Contribution",34274.49593
"Australia",2013,"Investment in Assets",11311.55871
"Australia",2013,"Loans to Agriculture",57810.0865
"Australia",2013,"Foreign Investment",146.740809
"Australia",2014,"Economic Contribution",34766.78943
"Australia",2014,"Investment in Assets",10364.50374
"Australia",2014,"Loans to Agriculture",56458.67888
"Australia",2014,"Foreign Investment",9e-06
"Australia",2014,"Research and Development",1.8
"Australia",2015,"Economic Contribution",29942.37215
"Australia",2015,"Investment in Assets",8691.37152
"Australia",2015,"Loans to Agriculture",47542.23982
"Australia",2015,"Foreign Investment",8e-06
"Australia",2015,"Research and Development",3.01
"Australia",2016,"Economic Contribution",35343.81953
"Australia",2016,"Investment in Assets",10318.0611
"Australia",2016,"Loans to Agriculture",49939.41466
"Australia",2016,"Foreign Investment",7e-06
"Australia",2016,"Research and Development",2.97
"Australia",2017,"Economic Contribution",34714.48141
"Australia",2017,"Investment in Assets",10072.36532
"Australia",2017,"Loans to Agriculture",52017.99565
"Australia",2017,"Foreign Investment",308.869064
"Australia",2017,"Research and Development",3.83
"Australia",2018,"Economic Contribution",30778.26222
"Australia",2018,"Investment in Assets",8353.181815
"Australia",2018,"Loans to Agriculture",53425.33304
"Australia",2018,"Foreign Investment",-366.852658
"Australia",2018,"Research and Development",14.94
"Australia",2019,"Economic Contribution",27687.74335
"Australia",2019,"Investment in Assets",8255.784479
"Australia",2019,"Loans to Agriculture",54149.08482
"Australia",2019,"Foreign Investment",7e-06
"Australia",2019,"Research and Development",5.56
"Australia",2020,"Economic Contribution",33024.21819
"Australia",2020,"Investment in Assets",9282.319274
"Australia",2020,"Loans to Agriculture",57398.37175
"Australia",2020,"Foreign Investment",7e-06
"Australia",2020,"Research and Development",2.75
"Australia",2021,"Economic Contribution",55031.2988
"Australia",2021,"Investment in Assets",11978.44757
"Australia",2021,"Loans to Agriculture",68709.15401
"Australia",2021,"Foreign Investment",8e-06
"Australia",2021,"Research and Development",3.76
"Austria",2001,"Economic Contribution",3296.901146
"Austria",2001,"Investment in Assets",1502.465302
"Austria",2002,"Economic Contribution",3334.764898
"Austria",2002,"Investment in Assets",1595.367127
"Austria",2003,"Economic Contribution",3904.172243
"Austria",2003,"Investment in Assets",1850.278535
"Austria",2003,"Foreign Investment",2.25725
"Austria",2004,"Economic Contribution",4442.966854
"Austria",2004,"Investment in Assets",2080.373495
"Austria",2004,"Foreign Investment",3.725019
"Austria",2006,"Economic Contribution",4378.473482
"Austria",2006,"Investment in Assets",2125.270628
"Austria",2007,"Economic Contribution",5505.110263
"Austria",2007,"Investment in Assets",2695.878599
"Austria",2007,"Foreign Investment",4.106001
"Austria",2009,"Economic Contribution",4588.97058
"Austria",2009,"Investment in Assets",3123.957413
"Austria",2009,"Loans to Agriculture",575.125409
"Austria",2009,"Foreign Investment",1.389192
"Austria",2010,"Economic Contribution",4966.565223
